,CB_0,CB_1,TMSE_0,TMSE_1,mean_CB,mean_TMSE
0,1,1,1.0518401282578203,1.0518401282578203,1.0,1.0518401282578203
1,1,1,1.052937339278559,1.052937339278559,1.0,1.052937339278559
2,2,2,1.0535457471127838,1.0535457471127838,2.0,1.0535457471127838
3,4,4,1.0503338480427227,1.0503338480427227,4.0,1.0503338480427227
4,6,6,1.0369939767769552,1.0369939767769552,6.0,1.0369939767769552
5,10,10,0.9897266635362303,0.9897266635362303,10.0,0.9897266635362303
6,15,15,0.8608897605250075,0.8608897605250075,15.0,0.8608897605250075
7,20,20,0.7901920084709334,0.7901920084709334,20.0,0.7901920084709334
8,23,23,0.7786156740685195,0.7786156740685195,23.0,0.7786156740685195
9,28,28,0.7648104476230242,0.7648104476230242,28.0,0.7648104476230242
10,33,33,0.7508213288319839,0.7508213288319839,33.0,0.7508213288319839
11,38,38,0.6429052277749715,0.6429052277749715,38.0,0.6429052277749715
12,41,41,0.49202134458567004,0.49202134458567004,41.0,0.49202134458567004
13,41,41,0.4000753811788783,0.4000753811788783,41.0,0.4000753811788783
14,43,43,0.3800544862632369,0.3800544862632369,43.0,0.3800544862632369
15,45,45,0.38126749423607864,0.38126749423607864,45.0,0.38126749423607864
16,47,47,0.3810600044395987,0.3810600044395987,47.0,0.3810600044395987
17,48,48,0.37966592016043704,0.37966592016043704,48.0,0.37966592016043704
18,48,48,0.3782574165646871,0.3782574165646871,48.0,0.3782574165646871
19,48,48,0.37722163715190016,0.37722163715190016,48.0,0.37722163715190016
20,48,48,0.3765949719896837,0.3765949719896837,48.0,0.3765949719896837
21,49,49,0.376135048952833,0.376135048952833,49.0,0.376135048952833
22,50,50,0.3752721356465447,0.3752721356465447,50.0,0.3752721356465447
23,50,50,0.36500397254067096,0.36500397254067096,50.0,0.36500397254067096
24,52,52,0.30200476848967006,0.30200476848967006,52.0,0.30200476848967006
25,54,54,0.19113450118608927,0.19113450118608927,54.0,0.19113450118608927
26,55,55,0.13273300053011985,0.13273300053011985,55.0,0.13273300053011985
27,57,57,0.1267676785470243,0.1267676785470243,57.0,0.1267676785470243
28,60,60,0.12076450363936057,0.12076450363936057,60.0,0.12076450363936057
29,60,60,0.11703422425596947,0.11703422425596947,60.0,0.11703422425596947
30,62,62,0.11743506501074279,0.11743506501074279,62.0,0.11743506501074279
31,63,63,0.11712002949719771,0.11712002949719771,63.0,0.11712002949719771
32,64,64,0.11638413349473194,0.11638413349473194,64.0,0.11638413349473194
33,64,64,0.11585018321407528,0.11585018321407528,64.0,0.11585018321407528
34,64,64,0.11556216392551302,0.11556216392551302,64.0,0.11556216392551302
35,64,64,0.11542807256783412,0.11542807256783412,64.0,0.11542807256783412
36,64,64,0.11537297732197992,0.11537297732197992,64.0,0.11537297732197992
37,64,64,0.11536125872092402,0.11536125872092402,64.0,0.11536125872092402
38,64,64,0.1153619813685739,0.1153619813685739,64.0,0.1153619813685739
39,64,64,0.1152628220258514,0.1152628220258514,64.0,0.1152628220258514
40,64,64,0.1141934269289388,0.1141934269289388,64.0,0.1141934269289388
41,64,64,0.10774570708727278,0.10774570708727278,64.0,0.10774570708727278
42,64,64,0.08933654179006932,0.08933654179006932,64.0,0.08933654179006932
43,66,66,0.06903876932988229,0.06903876932988229,66.0,0.06903876932988229
44,68,68,0.06365378723187703,0.06365378723187703,68.0,0.06365378723187703
45,73,73,0.06067034717676871,0.06067034717676871,73.0,0.06067034717676871
46,78,78,0.05998678842294163,0.05998678842294163,78.0,0.05998678842294163
47,83,83,0.05874297747403922,0.05874297747403922,83.0,0.05874297747403922
48,86,86,0.059387543314859785,0.059387543314859785,86.0,0.059387543314859785
49,86,86,0.05942541482264854,0.05942541482264854,86.0,0.05942541482264854
50,87,87,0.058623284797940114,0.058623284797940114,87.0,0.058623284797940114
51,88,88,0.05795733575567653,0.05795733575567653,88.0,0.05795733575567653
52,88,88,0.05810875215808044,0.05810875215808044,88.0,0.05810875215808044
53,88,88,0.059134464830499285,0.059134464830499285,88.0,0.059134464830499285
54,88,88,0.060451700499181096,0.060451700499181096,88.0,0.060451700499181096
55,88,88,0.06164313154754078,0.06164313154754078,88.0,0.06164313154754078
56,88,88,0.06279680113106352,0.06279680113106352,88.0,0.06279680113106352
57,88,88,0.0636635725901038,0.0636635725901038,88.0,0.0636635725901038
58,88,88,0.06381958580221468,0.06381958580221468,88.0,0.06381958580221468
59,88,88,0.06339781283428443,0.06339781283428443,88.0,0.06339781283428443
60,88,88,0.06283318116729135,0.06283318116729135,88.0,0.06283318116729135
61,88,88,0.0623546639393643,0.0623546639393643,88.0,0.0623546639393643
62,88,88,0.06203745613753151,0.06203745613753151,88.0,0.06203745613753151
63,88,88,0.061860471960795166,0.061860471960795166,88.0,0.061860471960795166
64,88,88,0.06179239025205797,0.06179239025205797,88.0,0.06179239025205797
65,88,88,0.06191054117133157,0.06191054117133157,88.0,0.06191054117133157
66,88,88,0.06203887033425612,0.06203887033425612,88.0,0.06203887033425612
67,88,88,0.06193578648178508,0.06193578648178508,88.0,0.06193578648178508
68,89,89,0.062254012428756215,0.062254012428756215,89.0,0.062254012428756215
69,89,89,0.0636022145483572,0.0636022145483572,89.0,0.0636022145483572
70,89,89,0.0646752832173154,0.0646752832173154,89.0,0.0646752832173154
71,89,89,0.06499582683335549,0.06499582683335549,89.0,0.06499582683335549
72,89,89,0.06493586758865198,0.06493586758865198,89.0,0.06493586758865198
73,89,89,0.06486001165285311,0.06486001165285311,89.0,0.06486001165285311
74,89,89,0.06479479287969632,0.06479479287969632,89.0,0.06479479287969632
75,89,89,0.06467616517624324,0.06467616517624324,89.0,0.06467616517624324
76,89,89,0.0645423729995181,0.0645423729995181,89.0,0.0645423729995181
77,89,89,0.06436173570379065,0.06436173570379065,89.0,0.06436173570379065
78,89,89,0.06388521355898784,0.06388521355898784,89.0,0.06388521355898784
79,89,89,0.06231400580545017,0.06231400580545017,89.0,0.06231400580545017
80,89,89,0.05945569774426447,0.05945569774426447,89.0,0.05945569774426447
81,90,90,0.05857249769504397,0.05857249769504397,90.0,0.05857249769504397
82,90,90,0.06041484186708142,0.06041484186708142,90.0,0.06041484186708142
83,90,90,0.061586171725245255,0.061586171725245255,90.0,0.061586171725245255
84,90,90,0.06180200937171532,0.06180200937171532,90.0,0.06180200937171532
85,90,90,0.06180491536493582,0.06180491536493582,90.0,0.06180491536493582
86,90,90,0.06179708260266195,0.06179708260266195,90.0,0.06179708260266195
87,90,90,0.061798641723897096,0.061798641723897096,90.0,0.061798641723897096
88,90,90,0.06180056784551595,0.06180056784551595,90.0,0.06180056784551595
89,90,90,0.06180744909708952,0.06180744909708952,90.0,0.06180744909708952
90,90,90,0.06176376596896832,0.06176376596896832,90.0,0.06176376596896832
91,90,90,0.061306696409061646,0.061306696409061646,90.0,0.061306696409061646
92,90,90,0.0589079558240862,0.0589079558240862,90.0,0.0589079558240862
93,90,90,0.05016497042041317,0.05016497042041317,90.0,0.05016497042041317
94,90,90,0.04270071408512604,0.04270071408512604,90.0,0.04270071408512604
95,90,90,0.043637382515237515,0.043637382515237515,90.0,0.043637382515237515
96,90,90,0.04389555718074103,0.04389555718074103,90.0,0.04389555718074103
97,90,90,0.04348957097675263,0.04348957097675263,90.0,0.04348957097675263
98,90,90,0.04318457019158586,0.04318457019158586,90.0,0.04318457019158586
99,90,90,0.043358197290635225,0.043358197290635225,90.0,0.043358197290635225
100,90,90,0.04360120151521488,0.04360120151521488,90.0,0.04360120151521488
101,90,90,0.04368554227906576,0.04368554227906576,90.0,0.04368554227906576
102,90,90,0.043630235101103663,0.043630235101103663,90.0,0.043630235101103663
103,90,90,0.04343897373138164,0.04343897373138164,90.0,0.04343897373138164
104,91,91,0.04315281596792813,0.04315281596792813,91.0,0.04315281596792813
105,91,91,0.04293398193891724,0.04293398193891724,91.0,0.04293398193891724
106,91,91,0.043164019826274665,0.043164019826274665,91.0,0.043164019826274665
107,91,91,0.04321732573582624,0.04321732573582624,91.0,0.04321732573582624
108,91,91,0.03895337360314733,0.03895337360314733,91.0,0.03895337360314733
109,94,94,0.025240899403954808,0.025240899403954808,94.0,0.025240899403954808
110,96,96,0.026526364428533792,0.026526364428533792,96.0,0.026526364428533792
111,99,99,0.020978048573223454,0.020978048573223454,99.0,0.020978048573223454
112,102,102,0.018994316706509043,0.018994316706509043,102.0,0.018994316706509043
113,105,105,0.01861502607915243,0.01861502607915243,105.0,0.01861502607915243
