,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,CB_50,CB_51,CB_52,CB_53,CB_54,CB_55,CB_56,CB_57,CB_58,CB_59,CB_60,CB_61,CB_62,CB_63,CB_64,CB_65,CB_66,CB_67,CB_68,CB_69,CB_70,CB_71,CB_72,CB_73,CB_74,CB_75,CB_76,CB_77,CB_78,CB_79,CB_80,CB_81,CB_82,CB_83,CB_84,CB_85,CB_86,CB_87,CB_88,CB_89,CB_90,CB_91,CB_92,CB_93,CB_94,CB_95,CB_96,CB_97,CB_98,CB_99,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,TMSE_50,TMSE_51,TMSE_52,TMSE_53,TMSE_54,TMSE_55,TMSE_56,TMSE_57,TMSE_58,TMSE_59,TMSE_60,TMSE_61,TMSE_62,TMSE_63,TMSE_64,TMSE_65,TMSE_66,TMSE_67,TMSE_68,TMSE_69,TMSE_70,TMSE_71,TMSE_72,TMSE_73,TMSE_74,TMSE_75,TMSE_76,TMSE_77,TMSE_78,TMSE_79,TMSE_80,TMSE_81,TMSE_82,TMSE_83,TMSE_84,TMSE_85,TMSE_86,TMSE_87,TMSE_88,TMSE_89,TMSE_90,TMSE_91,TMSE_92,TMSE_93,TMSE_94,TMSE_95,TMSE_96,TMSE_97,TMSE_98,TMSE_99,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0412737138186838,0.873726648678576,1.0274950816837678,1.168442103826945,0.8027394940503859,1.0420393764608693,0.8808310440500158,1.055234258292812,1.0813876158420204,0.9108825547549426,1.059778828424982,0.9946939578992527,1.0578058780575899,0.9602191474029793,0.9313318365598979,0.7890411878041615,0.9793830308774949,1.08232099015039,1.0464613637704157,0.9685186949341316,0.8291693209128986,0.9525336776183033,1.0522693022025955,0.893477629075165,0.7477689488032189,1.0481613942561667,0.9344794743035133,0.9744251666498966,1.0140546760226186,0.9379381669641371,1.0606443844368367,1.0232647724802764,0.9200168815588039,0.9572433414249274,0.9488189620551114,1.031780297326603,1.052119817967031,1.1143837990216228,1.0549526427075333,1.072272341863849,0.9229757826303019,0.9532637774453526,0.7704265692616985,1.0096425586667837,0.9167076620770513,1.0635261673369487,1.02633525133739,1.0634968873595114,1.0656601085225816,1.0338797285909829,1.0364852858445754,1.0771485078396128,1.0695953187235472,0.9109606382454716,0.8763343776351462,0.7303835900825293,0.8876703336807281,0.8143572948110624,1.0337543555847353,0.8309013692439896,1.0387539788259894,1.0021996832714366,1.0622609674180445,0.9746344128543527,0.9972624448594505,1.06492070072778,0.9561959538222694,1.0021282583944031,0.9076889247700352,1.0333816328115217,1.0657899648459834,1.079035943729351,0.8941134960809863,1.0472775312798863,1.0454267790731613,0.9715637147933004,0.9322704140394643,1.001733631794205,0.9786817174125557,1.06987760038379,0.8904166793197758,1.0234397501216226,1.164786973586245,0.9822559336965909,0.9639875329865001,1.0254851247619643,0.9383788376099463,1.0382237231975993,1.0400844224781252,0.9018475630422381,1.0102498056352196,1.0550084338900063,0.7723289231784182,0.8945960523744472,0.9683865203148436,1.019627288144705,0.9317910650385856,1.0576116110391711,0.9982459477013674,0.8916351506368893,1.0,0.9816047245985365
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.040278065740235,0.8087198655263935,0.9233970185107667,1.168501952860716,0.7777566354771575,0.9451640094916742,0.795790568063267,0.9131993912801898,1.0825385591354992,0.9126705272391669,1.0373934394816775,0.906853306637597,1.0580691449058532,0.7274101783642898,0.9313343494430256,0.689373052037741,0.9740313199921808,1.0605394879356895,1.0526341838764823,0.9692674066971672,0.5403441922898883,0.9525339907879398,1.0029950123062756,0.8883155893983651,0.6118780803783672,1.0481614183026065,0.9230244935578759,0.7053864630477102,1.0123028086138672,0.6679393067501643,1.0610976601492987,0.9346103984009948,0.9157769103162475,0.5861472639635721,0.8263578448891274,1.031780297326603,1.0521199846488756,1.0768029685557945,0.9130280243338494,1.095733182851735,0.9184448138455032,0.8330145910047482,0.7700655811225579,0.8655042488384038,0.9173543668838504,1.0635261673369487,0.9074201317228145,1.0558970896350464,1.0656607583416233,0.8781598559090773,1.036486068570996,1.077149262442459,1.0680157602137152,0.7461556106520296,0.409945496986234,0.7021435189318146,0.8615372861279411,0.4442489938446164,1.0259523381918645,0.6891917500654456,1.0387541018938304,0.7795906171208272,1.0354100042578254,0.969592332606138,0.8169682776562666,1.0100071019157624,0.9508455486451858,0.9050184840410945,0.9069227390021936,0.9404052561857337,1.0657899751038902,1.090439901122236,0.8272331021313555,1.0040563377758849,1.0447916831179047,0.7699448228381638,0.7920958334322852,0.8422909239199133,0.9636710716585544,1.0313701314523072,0.8768542980556081,0.942459300696387,1.158480537932817,0.8177194709151928,0.953222112404502,1.0233460135358943,0.9215211047755538,0.9878145933161454,1.040185113914026,0.6622292429012289,0.8890731059167014,1.0550084761501624,0.6241459857836792,0.8215264519417421,0.8491295456780983,0.9682656808047662,0.886179144798493,1.053709836327609,0.9979172839198568,0.8365409222362484,1.0,0.9110765851211569
2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0391276838400787,0.7705119052936522,0.8745729613108985,1.1679963275227903,0.7640513509525071,0.8494687223505486,0.7728705174232527,0.8472374597027184,1.0907667671257635,0.9201140999443536,1.0229189091629312,0.8590626052967999,1.0583549497811524,0.629981727789827,0.9313353515708168,0.6392932676759986,0.9720263731594163,1.0502112117715872,1.0683002211749626,0.9699329542591651,0.4271158496919168,0.9525341572362992,0.9781229791004509,0.9089793113840016,0.5652687461072644,1.048161437056771,0.9442078188317538,0.5928100816090339,1.0109507736855183,0.5489466004520661,1.0615479899062956,0.8914742440132196,0.9139852707790113,0.4452461586159417,0.7675531574029224,1.031780297326603,1.0521201023567694,1.0609577859888515,0.836896853723403,1.1609282342094671,0.9214159686143373,0.7786730932663479,0.7694608578387755,0.7902659106134773,0.9184228458666094,1.0635261758704422,0.8392349569623437,1.0520827185455655,1.065661644305598,0.7723888373984338,1.0364866098475314,1.0771497310692326,1.0702658674373025,0.6793782498894985,0.20946883449762174,0.690547098817848,0.8737669882589939,0.32178049915588625,1.021807401154969,0.6455898680255502,1.0387541716492599,0.6668922567269604,1.021762783094055,1.0233174770628688,0.7128708847053592,0.9855768580750401,0.952303860504208,0.8513788608695814,0.9062331092400515,0.8756199156879642,1.0657899811327376,1.140272420481192,0.7885127765233105,0.983404295705966,1.0442008629050625,0.6603390503834006,0.7804709412976447,0.7829488336248702,1.0036106169746712,1.0133198314030352,0.8763108924088515,0.902179795346806,1.1556457144055565,0.729742362044137,0.9467378343934232,1.0231280716856155,0.9142399135262103,0.9653716659363631,1.040254470481161,0.5623174121201799,0.8228388907632459,1.0550085078680782,0.556936714042014,0.8101003605977602,0.7989462228518979,0.9440055095203088,0.8642951308146999,1.0512719993668498,0.9978756623452245,0.8128729121352106,1.07,0.8822275720472397
3,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.0373491936513375,0.7513628284100801,0.8504780930666883,1.1673905579685098,0.7488974845060595,0.7629563325381423,0.7760389920978467,0.8378593051535039,1.11300932431364,0.9344321935089875,1.0377291280665226,0.9121993179212066,1.0587824087831932,0.598187608178753,0.9312054637278641,0.6217534434330559,0.9716773811832853,1.0438300523009643,1.1001380011079973,0.9707307424453426,0.4996719560135008,0.9525342770859766,1.047817173669962,0.948874306500893,0.5371697195669372,1.0481614406608508,1.0224891784820207,0.5606367562000268,1.0099516544109566,0.4931098404475477,1.0621495709216127,0.863207994027299,0.9131161799821089,0.3428719948516156,0.7302710542517227,1.0317803042775033,1.052120199590466,1.0485853453138658,0.7974715568151781,1.1722682380050777,0.9375233481324223,0.7522725015109036,0.7684691509827608,0.7610621902569772,0.9198197776387995,1.0635261740560393,0.7907345584893228,1.0493821323535546,1.0656625739640084,0.6692437796403097,1.0364871168717344,1.0771500181157347,1.0739742668715548,0.6463975036510597,0.1269703335776123,0.688053731059501,0.8181292118625679,0.27713773951983206,1.026366102837053,0.6232368903807292,1.0387542078221392,0.6087172789921116,1.0269302027183669,1.1215213255222323,0.6337867660877733,0.9719860536609375,0.9673391141193605,0.8251498160432484,0.9057783468751844,0.9627284460551949,1.0657899828469244,1.1337313117610244,0.7812406236055164,0.9718252187223654,1.0436252996393813,0.645092429851595,0.7956808076960903,0.7810579417265202,1.0822860445869544,1.0016645343151476,0.8963178821228811,0.8726781307662804,1.1531315076100894,0.6658668617669985,0.9477821677521201,1.0236842534267405,0.9090348443540832,0.9537622999244286,1.0403227820317256,0.5364028710716979,0.7776022110701398,1.0550085359461534,0.518808894516292,0.7643643312769541,0.7599078685796945,0.9864848238557195,0.848120641263125,1.0521732542534512,0.9982943422751627,0.8021313203839219,1.19,0.874584312721063
4,1,1,2,1,2,3,2,1,1,1,2,2,1,1,2,3,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1.0342017193970299,0.7477217157470188,0.8455606291484375,1.166940331974296,0.7387358182865708,0.7893553328975745,0.7847774684510268,0.8240954522286604,1.1678730286420569,0.9608479657318211,1.0828199334686512,0.8005235066748437,1.0595757879147925,0.5883006655961348,0.929298086694743,0.6249061047280778,0.9710948701242004,1.0392720238564268,1.1633759502636383,0.9719034369280055,0.7078836930827298,0.9525344026281323,0.8373002451637038,1.012144857119124,0.5112669110930712,1.048206526381234,1.1867407033669763,0.5568727726544268,1.0097952151322918,0.4657445587941579,1.0630713143470583,0.8414448440202162,0.9135512599298697,0.2607130726210496,0.7000310522852595,1.0317803044289786,1.0521202847855173,1.0359946683655223,0.7855769946090466,1.1452923689887475,0.9947114898650826,0.7384233162480323,0.7668863856961485,0.7538136062902753,0.9217915604402043,1.0599664621572087,0.7831313075212958,1.0468532366885561,1.065662573964016,0.5442758729957319,1.0364878313811356,1.0771501738734666,1.0787948603557556,0.6170071310374349,0.11459117204166049,0.706877600148278,0.702621160991645,0.22526600474995462,1.0405911384683113,0.5889829314614702,1.0387542257559765,0.5917366638914731,1.0868634740238978,1.1745384166298014,0.5488058957012846,0.9625207623927594,1.0297570616012994,0.8189163631598898,0.9060090612282092,0.6045505266201513,1.0658430171539064,1.1362501925568607,0.844625335639113,0.9638654116866283,1.0430598100378818,0.8864861686138645,0.8226430617804361,0.804290661491306,1.2022822443250685,0.9921516181181428,0.971008777323753,0.8700377899390819,1.1495275186246705,0.6179519465316828,0.9830120595043672,1.023681113211602,0.9034600861797778,0.9464680832855503,1.040417635497396,0.5220855379981724,0.7533793171217888,1.0550085615166525,0.4917938067637465,0.7460207995441479,0.7323137216034752,1.0884270776071057,0.8341790342489068,1.0689044832139805,0.9996827535675479,0.7968687115153701,1.34,0.8739131048213352
5,1,1,2,1,2,3,2,2,1,1,2,2,1,1,2,3,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,3,1,2,2,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,1,2,3,2,1,1,3,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1.027920620640447,0.7486667171683533,0.8487764412467143,1.1670173538136521,0.7340813166880337,0.8590923747322958,0.7994221088556104,0.8171012262641657,1.2947317060723817,1.0119904780119695,0.8512783685319989,0.6700277457652387,1.0609915612725145,0.5703477682605402,0.9264823817883135,0.6207629191964521,0.9708665492276459,1.041499094634766,1.2904883304243715,0.9738501186351196,0.7285577286132556,0.952534539949347,0.6644916246682138,1.1118637881921043,0.48869706883887043,1.0482539273746334,1.4691102780778293,0.5401312542443901,1.0128648643948597,0.4523465606219583,1.0643824514986528,0.8207433812138081,0.9188023225148036,0.1874513508596631,0.6684861920799979,1.0307545400823415,1.0521203460890518,1.0298424854992012,0.7805957513496686,1.1351472888564473,1.1724865184535658,0.7305013556014964,0.7644096842970501,0.754062493653234,0.9249898264005363,1.0549265789318234,0.9172660570473652,1.0442348920663453,1.065662573964019,0.4468008267526446,1.0364890889079033,1.0771502305665477,1.0853503606103008,0.5869339664830084,0.13130382759559842,0.8055821123729845,0.6638797413104064,0.176807128236769,1.0498691817885755,0.5822787837294946,1.0387542369973837,0.5845202575102288,1.1101914848725978,1.1766897287425904,0.4213604930130195,0.9555776293374355,1.1518964699768928,0.8224408814947912,0.9086217058957461,0.509384703992296,1.0659494927946938,1.1557226048320355,0.987850938589482,0.957705983671461,1.042682803793679,1.5486352946271442,0.8653391867777915,0.8258765997177814,1.2042636247591703,0.9829852282970504,1.176974565690881,0.8706665827246939,1.143828987390231,0.5794759536550195,0.9959503844191233,1.023409291825191,0.8963490087587052,0.9413897107277556,1.0405897524190544,0.4908996694081288,0.7437448322666848,1.0550085803364884,0.46680281857751826,0.743034081060484,0.7203521381712155,0.8330742615939437,0.8221616144392726,1.1565190631579865,1.00370733327862,0.7939700432619081,1.46,0.8832791617787552
6,1,1,3,1,2,4,2,2,2,1,3,2,2,1,2,3,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,2,1,3,1,2,2,2,2,1,1,3,1,3,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,1,2,3,2,1,2,3,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1.0144808081694003,0.7546535684808526,0.8536503477749805,1.1685903689836015,0.7308607630090078,0.9490646737683209,0.8246185397005198,0.8215622698379905,1.2848442797112776,1.1151517006844474,0.744108252606221,0.6366264027245027,1.0609915620123156,0.5442115639891347,0.9229816592876319,0.6242123182500352,0.9709761192524481,1.0781195924353064,1.3430648225227777,0.9774085240632695,0.530661106256441,0.9525346796027555,0.698283673438656,1.123614174904107,0.4793654919491752,1.0481225481559358,1.6692591924117046,0.5145570503014417,1.0295063940875664,0.4462861468819447,1.064382455926563,0.7980771951581848,0.9458935539522626,0.1421540633719856,0.6549698764439178,1.0291307627013082,1.0521203633861669,1.03037232981041,0.7767989143862047,1.1393250449367338,1.1843337616223295,0.7254572921877216,0.7606208903184589,0.758094123076143,0.9309505574813008,1.0483105011827163,1.3028041502524796,1.0449027773885773,1.0656623275519177,0.5158115256096966,1.0364910981477073,1.0771502257610812,1.0952112573823085,0.5613641676569943,0.13123383208961545,1.093552054884245,0.6635226858859345,0.1535544723657548,1.0337410253169308,0.5983400443812943,1.0387542473816542,0.580913540470541,1.029415915374101,1.1803118823985514,0.23814360969377646,0.9510933997750779,1.0843832243866571,0.8314438629743941,0.9202651834959115,0.6524733332347904,1.0659192727703608,1.2103650472322578,1.1192982350112493,0.9535238075496427,1.0433637118715695,2.5217329332159384,0.9350352682901463,0.8233309077673164,1.2071798289298779,0.9822896766258392,1.1760856526226613,0.8670922262278961,1.1346791623930197,0.5485393228561171,0.9974305530449553,1.0234855056291667,0.8865078899018192,0.938018419989392,1.040928483598869,0.463749091081771,0.7382009753354938,1.0550085860955896,0.45359511528432583,0.7324085616586651,0.7138765268788478,0.7350373771848457,0.8130482542094942,1.0167704719196449,1.016127481238881,0.7921380411951398,1.59,0.8983866651266698
7,2,1,3,2,2,4,2,2,2,2,3,2,2,1,2,3,2,1,2,1,1,1,2,2,2,3,2,1,1,1,2,1,1,2,1,3,1,2,2,2,2,1,1,3,1,3,1,1,2,2,1,1,1,1,1,2,2,2,1,3,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,1,2,3,2,1,2,3,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,0.4781102398612226,0.7581981232449371,0.8459556681005865,1.1246383568240672,0.7279285730718158,0.9494701684071417,0.8731130931630391,0.833825458374698,1.2507802202304117,1.0646083839101386,0.6563441708394943,0.5701897056323438,1.0609915629585827,0.521825957177956,0.918381530776262,0.6440110724746114,0.9714914820838492,1.2021793733303239,1.318040580232369,0.9847307934786335,0.451762472815965,0.9525348045833317,0.7283689935890012,1.11949852297609,0.47427299489484787,1.0210158085564247,1.6169880992629249,0.4977259947816674,1.102471751389957,0.44410430860401867,1.0643824592292888,0.7725288069752249,1.056988909252354,0.11543313362221574,0.796260564489487,1.0270674124666574,1.0521203324058879,1.0310171924473495,0.7723899480581901,1.163575816838468,1.1451544963456262,0.7218114362635791,0.7550872913242009,0.7763498994757824,0.9438038127597189,1.0398622433975757,1.9132622092665916,1.0670566193979687,1.0656619031780084,0.3332649816305998,1.0364936434996979,1.0771501997305675,1.1114043665761353,0.5441376141626543,0.11600571798806869,0.9748677996832311,0.632300954568974,0.14294185628857306,1.0273535409125083,0.6148829598075258,1.0387542576415798,0.5786519310530336,1.0027871589802144,1.1884282565896747,0.09746759042103044,0.9489599419641394,1.048886726866815,0.8347290351024386,0.9678847497797645,0.6256355623872561,1.0658106732428059,1.3291619274893334,1.0376890367147276,0.9516996760343939,1.0488930421571288,3.1744687825008246,1.053725588537702,0.8263070917027644,1.213052037210784,1.0478141613900118,1.131121917409431,0.865169064155869,1.1192755390196256,0.5290456999946096,1.00467636098535,1.0238614337713663,0.8715539345396263,0.9360755104980235,1.041362124264044,0.4495825888179174,0.7343001380805262,1.0550085769686743,0.5203319878039941,0.7269636252651525,0.7089390470103071,0.7277517259475853,0.8067712165265678,0.8857490788963855,1.0584615374908086,0.7908500308084259,1.67,0.9012183475369013
8,3,1,3,2,2,4,2,3,2,2,3,2,2,1,2,3,3,2,2,1,1,1,2,2,2,3,2,1,2,1,2,1,2,2,1,3,1,2,2,2,2,1,1,4,1,4,1,2,2,2,2,1,1,1,1,2,2,2,1,3,1,2,2,2,1,1,2,1,1,2,3,3,1,1,1,1,3,3,2,2,2,3,1,1,2,1,1,1,2,1,2,1,1,3,2,2,1,3,1,1,0.05073553392374983,0.7565688256578975,0.8399506819563353,0.9375044272492657,0.7247995111641922,0.9498367059818561,0.9749249412442853,0.8200698140375707,1.2474240559871597,1.0635145775636419,0.6403424344221992,0.49319929320465444,1.0609915639459242,0.5099542145304881,0.911976505439096,0.7020696939766458,0.9530057217849565,1.1423682755274795,1.3339564382211562,1.0025966792045793,0.44206065024914176,0.9525348823274951,0.6607522810932567,1.1476412412849908,0.47046623864484727,1.0053282564770638,1.596313547077693,0.4960654789886661,1.1512436309722995,0.4437316833651917,1.0643824608778816,0.746121355307693,1.0280662523255915,0.09466584102219752,1.337964869816448,1.0241602192208086,1.0521202779765,1.0317447773167243,0.7667537444049609,1.212344061030154,1.1392696498664632,0.7188846571168643,0.7483284387358918,0.7828934316961822,0.9766208951058499,0.8735895639423888,2.473674005157804,1.0184457264263653,1.0656617930912173,0.3025612553722694,1.0364936434997183,1.0771501797568637,1.1390880580091716,0.5361624414155908,0.1147968023442304,0.9272220337807758,0.6045366004790792,0.13502152498453965,1.026534907628998,0.6151664100111763,1.0387542659558318,0.576554762356685,0.9999070165991932,1.2072778309918828,0.16107195046259515,0.948139392488781,1.0574647552710577,0.8313361195811477,1.1403033854606637,0.517731610920749,1.0517615134117368,1.2775827073434818,0.8551300640701442,0.9513738324929784,1.0759215595052198,2.377449052143067,1.0863871918643455,0.8407407602778547,1.227470076964357,1.162254399726456,1.1162044696076447,0.8667565002061797,1.0920373883036147,0.5269974143218868,1.0071758128604034,1.0244843347672445,0.8514050635325606,0.9348746701288391,1.041362124696547,0.4482546896226265,0.7330675795891443,1.0550085598592358,0.7772576900091432,0.700933763476363,0.7047113516475929,0.7293477920190441,0.7986749540103609,0.7598638080417476,1.202586262287187,0.7898579165902656,1.83,0.8969782805669003
9,3,1,3,2,2,4,3,3,2,2,3,2,2,1,2,3,3,2,2,1,1,1,2,2,2,3,2,1,2,1,2,1,2,2,2,3,1,2,2,2,2,1,1,4,1,4,1,2,3,2,2,1,2,1,1,2,3,2,2,3,1,2,2,3,2,1,2,1,2,2,3,3,1,1,2,1,3,3,3,2,2,3,1,1,2,1,1,1,2,1,2,1,1,3,2,2,1,3,2,1,0.03238317931786354,0.7533466320551663,0.8350452243026754,0.8279030311074874,0.7213569688727122,0.9502719506014926,1.0680586949773858,0.7973119462891133,1.2754175903619842,1.2011609963930376,0.5981756505297702,0.4774310835733232,1.0609915644333026,0.5095312657676582,0.9036722747623599,0.8498215545406888,0.9359546630338176,1.0906891846619204,1.4397597478609838,1.054684150339962,0.4483465811351149,0.9525348708342524,0.5492135824281028,1.2810897673747765,0.46741135674556716,1.0050945639523121,1.5894063997151968,0.5118826835634878,1.0228874377357309,0.44386031473027565,1.0643824605997534,0.7251886999488901,0.9704856070697357,0.07486749833508945,1.3199915036734495,1.0196845477207985,1.0521202306267146,1.0327062022285352,0.7599241752231105,1.275348249536516,1.1574837688845654,0.7165078068621726,0.7490067329170077,0.6967264524341663,1.0736001698423083,0.3575752862775686,2.2774368490878625,0.9439261429657363,1.0648768779547417,0.3011927966708544,1.0364936434997276,1.0771501744053316,1.1640806142548688,0.5345329261733943,0.1255712393328241,0.9168863328900988,0.529219339161152,0.12689128308213016,1.0248523135435184,0.622676823389539,1.0387542706084865,0.5739385814424035,0.9343328689929657,1.2055452869561298,0.21555789823103777,0.9466974343317396,1.0608821583035293,0.8261417812386617,1.0073421008601973,0.44500855768631237,1.0247135433853445,1.2524327766954484,0.7918521926172867,0.95167123640659,1.1177057454530073,1.1915338905147894,1.0866722231792958,0.892364072404834,1.2391196230582715,0.9421975938405666,1.1159414748660217,0.878666105753866,1.0517986452506172,0.5314372174963549,1.0033675957074264,1.0253545779468969,0.8610736518109275,0.9334043538458539,1.0413621251583276,0.46202955436089743,0.7428542910850654,1.05500854404877,1.2165284110211574,0.6897075933441187,0.7011910928033491,0.5962572120309323,0.801060463696122,0.6989739510861259,1.2163464189490583,0.7889675808229077,1.95,0.8760187635788138
