,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,CB_50,CB_51,CB_52,CB_53,CB_54,CB_55,CB_56,CB_57,CB_58,CB_59,CB_60,CB_61,CB_62,CB_63,CB_64,CB_65,CB_66,CB_67,CB_68,CB_69,CB_70,CB_71,CB_72,CB_73,CB_74,CB_75,CB_76,CB_77,CB_78,CB_79,CB_80,CB_81,CB_82,CB_83,CB_84,CB_85,CB_86,CB_87,CB_88,CB_89,CB_90,CB_91,CB_92,CB_93,CB_94,CB_95,CB_96,CB_97,CB_98,CB_99,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,TMSE_50,TMSE_51,TMSE_52,TMSE_53,TMSE_54,TMSE_55,TMSE_56,TMSE_57,TMSE_58,TMSE_59,TMSE_60,TMSE_61,TMSE_62,TMSE_63,TMSE_64,TMSE_65,TMSE_66,TMSE_67,TMSE_68,TMSE_69,TMSE_70,TMSE_71,TMSE_72,TMSE_73,TMSE_74,TMSE_75,TMSE_76,TMSE_77,TMSE_78,TMSE_79,TMSE_80,TMSE_81,TMSE_82,TMSE_83,TMSE_84,TMSE_85,TMSE_86,TMSE_87,TMSE_88,TMSE_89,TMSE_90,TMSE_91,TMSE_92,TMSE_93,TMSE_94,TMSE_95,TMSE_96,TMSE_97,TMSE_98,TMSE_99,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.059969910245844,1.1260258693316318,0.935800914106341,1.0178780929522715,1.2817650484103538,0.9606720237658443,1.0596401500464274,1.064269563244273,1.0910348840268098,1.0954120192328667,1.0012191007006004,0.8297722777859488,0.9427513887415605,0.835294338727288,1.1386677944839532,0.9572702211470935,1.093211121916575,0.9182444408755128,1.1459063699697656,1.039007479632855,0.9227584818182354,1.0590871543501643,1.0127303188388816,0.9972663953951878,0.9748685814887572,0.8443681555451666,1.0202792524496458,1.0040575551817774,0.9530531133361417,1.0829867129313064,0.8804156257782623,0.7773799987688575,1.0934316881614512,1.039958056693656,0.9681264533403348,0.9650749765254444,0.965044936480403,0.9591483413916573,0.8102690647850723,1.1689828025460456,1.0836813746918552,0.746224831750994,0.8903246569212214,0.940554793479339,0.9905841616009807,0.9643669618558307,1.0418107530443292,1.0405193666228025,0.9836121807414677,0.958679853828522,0.9581381844199366,0.7949414006813786,0.9888740295735176,0.7503433648825106,0.7470342519208778,0.9859938681297433,0.9669209095359563,1.074649136010968,1.243279594605032,1.0251097906782909,1.036812963228079,0.8688061245721062,1.0082192278720774,1.0710938977546431,0.7761389152603206,0.8278055676284103,0.8913405013805168,1.0437010619373714,1.0721349714954695,1.0305979267634486,1.064607314352045,1.071150575863391,0.8646552222720185,1.0661825577747461,0.9559428095928425,0.9470196753792283,0.9133702331783901,1.0222826525356352,1.0080195733123074,0.9071015436421644,0.7781561566281565,1.1271114236171227,0.9738262273293736,1.011800584668956,1.0500575190438994,1.1763886783863864,0.9592186158821003,0.8943049483358542,1.0703979873272396,1.0366935928463792,1.1080850684795895,0.9125480584130132,1.0828689894194912,0.9224294901334068,0.947040730846844,0.8036668656361751,0.8956400465124958,0.9434262178825791,0.9543846579003317,0.9924874319910456,1.0,0.9835626074720147
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.05963526781822,1.126027578832422,0.8891189690138309,0.7437818563079581,1.2807634238145598,0.6342477307538466,1.0394386316454056,1.0379191511742378,1.0878685525299738,1.0580623856705174,0.7682539290853265,0.6942761713986241,0.8256144780153877,0.6772542798157775,1.0528089462791415,0.9572714739578565,1.0530711612065329,0.9185878706017268,1.1459134322317641,0.9807936307499406,0.9214815219622933,1.0201074869639264,1.0061083576197218,0.940748983526072,0.9573337962789263,0.4058426600825195,0.9096259238438833,1.008307898303027,0.9517382536110255,0.8984406074005511,0.8744228465741818,0.2757919897435539,1.0384892357408637,1.0425780481778353,0.5670519482328789,0.9650750044070657,0.7887805975412148,0.8974776407394416,0.4775832483048907,1.002309005962743,1.0790172677289285,0.6719005874656766,0.6864974404098053,0.8361405992175728,0.7265317939068694,0.8790917762113624,0.9561579069251144,0.9955347292653367,0.9840110401827118,0.936324774299921,0.9103439336692549,0.5602010879032151,0.9893253972947984,0.6638824080997511,0.16040180026137682,0.9116044506058522,0.9685817298549191,1.0735249647730245,1.075505914680501,0.9428939649778347,1.0434288027295349,0.8571462533353147,0.778166485023017,1.0316749342217744,0.6943381181826555,0.5804715654267687,0.7117265228680959,0.9446530410479946,1.061698480617851,0.9106281772580794,0.9657119928675914,1.0697558047075546,0.8384838494654728,0.9883057692993794,0.9684341448779162,0.9292722824423211,0.7704715260294519,0.9170694601254187,0.9740621260958752,0.7224879279387736,0.7038749309601035,1.1274173596973451,0.9738262273303336,0.9310261003038847,1.0039296047698132,1.1701467795749012,0.9255736007376258,0.8943137498129126,1.0703979873418052,0.892353988668197,1.1082905678407056,0.7903238905365063,1.0581555349751484,0.922674985987389,0.9476020913810527,0.4364161374200994,0.7459609871822296,0.9374902755870962,0.908326517081437,0.8803703129039746,1.04,0.891739364383069
2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1.0588320774905644,1.1260293563950785,0.8648175491083652,0.5338794801807539,1.2801820537909672,0.49538750331136755,1.0245760962773625,1.0256019832521763,1.0854887931810133,1.02197024435436,0.655206952962908,0.6210901283405184,0.7717673490014693,0.6061014542465466,1.0178825815775177,0.9572724911091756,1.0441176301677189,0.9190349324533279,1.1459219376826337,0.9506321680505331,0.931470890290765,0.9998192832893869,1.0056561077621562,0.9143550489653051,0.9494667167219243,0.11858040289416526,0.8571960301024124,1.018733664903147,0.9506448274946928,0.7738839829715686,0.8725953612514594,0.10000873968459384,1.0103125560471713,1.0499985967770313,0.3778836780783715,0.9650750264097785,0.7018567959673075,0.8685686338031829,0.3204148774620241,0.8948001445028039,1.077401767156146,0.6368513408723551,0.5548743360376496,0.7864588474092369,0.6176048038781942,0.8383192787425978,0.9160399479405277,0.9748127011349955,0.991630154485263,0.9357740549056518,0.8885302647626513,0.43410191676476395,0.9899308826514328,0.6267730176571835,0.06247575023298232,0.874403965294934,0.9706764771507634,1.0736875677064688,0.9871969240332416,0.9060126629978358,1.0618698545185616,0.857170943853222,0.47169548852949483,1.0092576025113336,0.6504867683746732,0.48790446607534277,0.4945221383236029,0.9026954322708021,1.0574535072747173,0.9089051960490263,0.9182547466787996,1.0698298928661205,0.8267446331383171,0.951756299301461,0.9686763878093789,0.9154358757931816,0.6931672362034033,0.8618520564905922,0.9598139341452393,0.6459865454090981,0.6657377957050189,1.127880879336307,0.9738262273308339,0.8961974602855729,0.9659550109134165,1.1671083958840294,0.9098104575255889,0.8943204558311033,1.070397987348879,0.718728037991028,1.108454056571136,0.7446124500267447,1.031221963083971,0.9229360582175498,0.9480228458712485,0.3077052097438671,0.6604302922953112,0.9352816322067632,0.8877870525453956,0.826021274559048,1.17,0.8450658533901767
3,1,2,1,3,1,1,2,1,1,1,1,2,1,1,3,1,3,2,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,3,2,1,2,1,1,2,1,1,2,1,1,3,2,1,1,2,1,2,2,2,1,1,1,2,2,3,1,2,2,2,1,1,3,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,3,1,1,1,1,1,1,2,1.0573639385372842,1.1260297693125891,0.858039791695071,0.4616750137773056,1.2802871780261276,0.43196955931354347,0.9382056709380433,1.0179545548686193,1.0831564004010337,0.9715062787728747,0.5924211933874306,0.4848409279969491,0.7487284609524347,0.5703656750045552,1.0029432474641575,0.9572733549556824,1.0441429383535856,0.9190364534700539,1.1459241867987862,0.9329558676889006,0.9617399806537874,0.9875164153127541,1.016308812249596,0.895885514688936,0.9443777995559194,0.0030531219004795293,0.8293403369495745,1.0310253599434702,0.9502058766737245,0.5779121250427771,0.8728572049704003,0.0392483695184044,0.9939200015894367,1.0562448186353692,0.25132096669205983,0.9650750397084258,0.6730068114404261,0.8450115604648638,0.24583955640105307,0.7008706356478059,1.07804330668503,0.6160955018363934,0.521281535145919,0.7638764969130593,0.5735160698868487,0.8299454321383305,0.8954552975778344,0.9685134264327878,0.9973675691302921,0.8838866706812103,0.8772028995514385,0.39181157871971095,0.9899338121095866,0.6003180444661589,0.04610209914432765,0.7878186294552612,0.9719227745713105,1.073971776946318,0.9234510253961021,0.8827175793114943,1.0730737990158155,0.8633866182761984,0.2540565883529741,0.9976029939359383,0.6231369381193498,0.47055258276317563,0.3732060505908628,0.8842479015596856,1.0546018687687575,0.9099038538246706,0.8895287022437995,1.0705596789329077,0.8261497028671848,0.9285087657275665,0.9689217987970626,0.8998308356771269,0.6510053385554553,0.8381766718703884,0.9545198682744931,0.6261572446696304,0.6487995560052917,1.1278824159679395,0.9738262273310502,0.877867966176753,0.915401216560843,1.165115453932461,0.8994540822121252,0.8943271136767996,1.0703980007069573,0.5747430399881366,1.1086412901242444,0.7188212303993321,0.9745315249084617,0.9233424730032437,0.9483646670780392,0.23909471312313815,0.6205613913409244,0.9388828368281702,0.8776572281282632,0.7946916728713872,1.47,0.8158834419904031
4,1,2,2,4,2,1,3,1,1,2,1,2,1,1,3,1,4,3,3,1,2,1,2,1,1,2,1,2,2,2,1,1,1,2,1,1,3,2,1,2,1,1,4,1,1,2,1,1,3,3,1,2,3,1,2,2,3,1,1,1,2,3,3,1,2,3,2,1,1,3,1,1,2,1,2,1,2,2,2,1,1,3,2,1,2,1,1,1,3,3,1,2,3,2,1,2,1,1,1,2,1.0551886548625524,1.126029770225829,0.8187935564256967,0.44805556450383727,1.2733844554838796,0.40051532715264554,0.85416382541596,1.0122250879287695,1.0802550221667715,0.46803477190937126,0.5550941398455804,0.40738138623602277,0.7404233173921236,0.5503679900589713,0.9977132622441373,0.9572738017251289,1.0442330022860653,0.9190371903561095,1.1459241912829468,0.9234626630972484,0.976842447271751,0.983192138454686,1.017008225572248,0.8808648493095602,0.9403421754788546,0.11865680723846664,0.812790550837306,1.0217425054764282,0.9501928883089803,0.3706669571016933,0.8767434196765344,0.018457968739231233,0.9855822025758972,1.0571124518634525,0.16394892592440363,0.9650750387724277,0.6666096122323524,0.7421915740642152,0.22642149198574782,0.6536458344370397,1.084765546821348,0.6040248198071493,0.5052605920230214,0.7565324491239529,0.5542010065408534,0.8285975060639351,0.8842598370554534,0.9727378059308577,0.9921403203425426,0.7500536237790062,0.8705735047338609,0.2929722862493562,0.989934552022826,0.5754748732702829,0.048535881782410355,0.7065971722483154,0.9719620147654466,1.0739509447123634,0.8708943940096624,0.8636928969067025,1.076445958055795,0.8698303203879829,0.1524580772513933,0.999108569075763,0.5677257875649881,0.4534586704193808,0.3531762035634956,0.8754202522301486,1.0520841141335593,0.9105603186644686,0.869490081248693,1.071862685193757,0.8159470534219257,0.911834535153928,0.9692002754401963,0.8760365556863144,0.5825426544225416,0.7703720166788816,0.9518397396073732,0.6382134515258608,0.6469298286915486,1.12788282128413,0.9738262283877125,0.8648027622902302,0.8925294167208805,1.1636941782228134,0.8910870851663497,0.894334697561131,1.070407204931879,0.433283829744599,1.1089434166555505,0.69720118428995,0.8835370296204383,0.9236048773663024,0.948697240384709,0.1203988505138517,0.6149540703757091,0.9647473128516615,0.8719733923254714,0.7768262293670758,1.75,0.7904007605058869
5,2,2,2,4,2,1,3,1,1,3,1,2,1,1,4,1,4,3,3,1,2,1,3,1,1,2,1,2,2,2,1,1,1,2,1,1,3,2,1,3,2,2,5,1,1,2,1,1,3,4,1,2,4,1,3,3,4,1,1,1,2,3,3,1,2,4,2,1,1,3,1,1,2,1,3,2,2,2,2,1,1,4,2,1,2,1,1,1,4,3,2,3,3,2,1,2,1,2,1,3,1.028030324185497,1.126029770575174,0.7764292670082785,0.44979241363954064,1.2580922565493569,0.38338251096643605,0.8178905183810207,1.0067075068764604,1.076025676241568,0.06811756322849648,0.5353941913026897,0.3894073525628445,0.7383149171023531,0.5387700635967896,0.9970112915523318,0.9572736128408861,1.0357595391750185,0.9190371907817035,1.1459241912830647,0.9201007296513607,0.997027011298445,0.9922679258500867,0.9984376776257367,0.8686283114502279,0.9366642756663326,0.28346587158381414,0.8025606870288592,1.0150483233564451,0.9501904208563404,0.426629385835367,0.8938837862826803,0.011252922287621923,0.983676773097607,1.0667144441442318,0.11291974942758928,0.9650750352768981,0.6646854804767023,0.7037442445520805,0.24788338777785762,0.6462472564153513,1.102005999202125,0.5996455066244831,0.5063128730996687,0.7564017923812518,0.5405950137430192,0.8276909368319786,0.8784762175452113,0.9845043104178991,1.0040202262058389,0.554916600548543,0.8662477961033433,0.256734221780681,0.9899345524339492,0.5503421114322076,0.047839483078580256,0.5723172427949358,0.9719620390124882,1.0734369446627101,0.821864123534125,0.8482055426512828,1.0841508591492852,0.8705201139184727,0.1415875605503718,1.0083945527480405,0.5442806674721755,0.43551072565899823,0.3553417907404259,0.8703058502032824,1.049948469284514,0.9150172474680102,0.872627421390512,1.0740466475701513,0.8025978592798932,0.9008593941085847,0.9692010334858914,0.7700499249877504,0.4818987297997994,0.6984720099985,0.9501611160837627,0.6449673002192851,0.651377718994235,1.1278828213599452,0.9738262334285214,0.854115645732976,0.8921584344225668,1.162637520050593,0.8844332210454099,0.8943424253370038,1.070517745663637,0.40708043291442786,1.109130838875528,0.682143004118995,0.8396274836381344,0.9236115549103534,0.9490977152038801,0.05004848651959258,0.6285004927368896,0.9647213040902218,0.8684019908483627,0.764192787669231,1.97,0.7762573452355369
6,2,2,3,4,3,1,3,1,1,4,1,2,1,1,4,1,4,3,3,1,3,1,3,1,1,2,1,2,2,3,2,1,1,3,1,2,3,2,1,3,2,2,6,1,1,2,1,1,4,4,1,2,4,1,4,3,4,1,1,1,2,4,3,1,2,5,3,1,1,4,2,1,2,1,3,2,2,2,2,1,1,4,2,1,2,1,1,1,4,3,2,3,3,3,1,2,1,3,1,3,0.8887892374479438,1.126029770269417,0.6101024759251443,0.45547116028498563,1.2202603001725825,0.3729876721628567,0.8554123469881852,1.0011360180516922,1.069209361332106,0.046424514473695104,0.5286532593502519,0.39867349222533693,0.738030308377899,0.5327740090413176,0.997280275843766,0.9572731885719113,1.0278792402383448,0.9190371910264971,1.1459241912831475,0.9203183020673579,1.011782797524017,1.0129430775107324,0.936530433753433,0.8574827313996232,0.9333346159563476,0.24585201926617276,0.7969650231558629,1.0133848683740965,0.9504395407166373,0.37075436703065967,0.903299955663971,0.00860360511096842,0.9838324752152015,1.0875768833723407,0.09162700003322853,0.9650776249490998,0.663546484880974,0.7386373606682731,0.28072128793629897,0.6509983953070484,1.0889834368702287,0.5499434892136905,0.512655167324209,0.7568973822633337,0.5264133279479033,0.827001674926248,0.8763725411938099,1.0003604429053972,1.0282377732748134,0.4415105278123084,0.8628391386365664,0.2648934418949271,0.9899345524340558,0.5261592533922131,0.05184231613534266,0.5222174567180738,0.9719620390150955,1.0723859164249518,0.7537779940489852,0.8373175749991756,1.103389595802258,0.8705232636534368,0.14258260593393754,1.0083892747854106,0.5399786555999908,0.44191142840008296,0.3550706811751218,0.8666443797314894,1.050088894750166,0.9236424968682464,0.7887985424818237,1.077932381003332,0.8053179631838592,0.8952469373313839,0.9692017201150436,0.4097534136513515,0.4520332512016723,0.6691763516089098,0.9491100586089519,0.6331563163671031,0.65174185501852,1.1278828213599474,0.9738262377035454,0.8459832139334565,0.8973418254956114,1.1614755779341026,0.8800094588985593,0.8943477935861182,1.0702806346906772,0.40680354119978024,1.1091340145210546,0.6732932130611924,0.8366186810887991,0.9236160786652043,0.9496665549950978,0.017774434327798207,0.6374441689972441,0.9301269965463834,0.8659841445105336,0.7556448454920005,2.15,0.7633770661466994
7,4,2,3,4,4,1,3,2,1,4,1,2,1,1,4,1,4,3,3,1,3,1,4,1,1,2,1,3,2,3,3,1,1,3,1,2,3,2,1,3,3,2,6,1,1,2,1,1,4,4,1,2,4,1,5,3,4,1,1,1,3,4,4,1,2,5,3,1,1,4,2,1,2,1,3,3,2,2,2,1,1,4,2,1,2,1,1,1,4,3,3,3,3,3,1,3,2,4,1,3,0.5639258640829711,1.1260288760475736,0.5357959888855945,0.46447665442811925,1.15955175634009,0.36580354913533764,0.8626067469195848,0.9920616572784812,1.057549474742143,0.06790197841139033,0.5311223335223079,0.3906600758804065,0.7372029396493026,0.5308908693078749,0.9977581776338029,0.9572730228236276,1.0198248122045255,0.9190371084841016,1.1459241912831513,0.9235407644998782,0.9873788634066277,1.0254948224650982,0.7971524880209854,0.8436028158307034,0.9390515889350801,0.10080862006088245,0.7953052721389062,0.9223945285270865,0.9507828138659079,0.3780918243143594,0.8905177672805743,0.007480712943136051,0.9837913648206157,1.0769940260071609,0.0829315206978828,0.9650845647674705,0.6616103152599958,0.7681708367994018,0.287903942007017,0.6111385405530417,1.0461793040924046,0.5362380914748063,0.5186200132339084,0.7548909957119132,0.5127670909582998,0.8266730184581953,0.8768515988103154,1.0160258688724901,0.9993670753317643,0.423021674783539,0.8593448488082074,0.23803529607115043,0.9899345524471883,0.5024919391086113,0.06127342951553133,0.5196637953945601,0.9719620390169202,1.0709429261005845,0.6315823202871093,0.8318442411521921,1.0965632452375633,0.870524381178551,0.142799604124882,0.9989576351979796,0.5429293202441333,0.461468069599794,0.35249077650840593,0.8638474685873526,1.0665672038087355,0.923636261141065,0.7292268082846521,1.08557070772233,0.8127169654246764,0.8925160632657085,0.9692023888943795,0.08480671997006382,0.4535863835233647,0.6643964531465839,0.9487270132684787,0.6261768757508454,0.64651970502216,1.1278828213657415,0.9738262415830502,0.8411542603082157,0.8989942146606023,1.159943830429693,0.8782389579867267,0.894347697250731,1.0698459912803686,0.40570871256345287,1.1091340160785736,0.668819377159059,0.832797313479816,0.9236160864217484,0.9505618118463895,0.008316074315088904,0.6339241576957738,0.7894462067106955,0.8641637645020478,0.751694185671631,2.31,0.74627979961103
8,5,2,3,4,4,1,3,2,2,4,1,2,1,1,4,1,4,3,3,1,4,1,4,2,2,2,1,4,2,3,3,1,1,4,1,2,3,2,1,3,4,2,7,1,1,2,1,1,4,4,1,2,4,1,5,3,4,1,2,1,3,4,4,1,2,6,4,1,2,4,2,1,2,1,3,4,2,2,2,1,2,5,2,1,3,2,1,1,5,4,4,3,3,3,1,3,2,5,1,3,0.47562766850899635,1.1260285014306566,0.5261807416898079,0.47869574191551184,1.0931603329312052,0.36005738906248874,0.8356360156729171,0.9470081941081924,0.9336164098717984,0.07716101787175647,0.5414324195125927,0.3893389299538088,0.7344397901908809,0.5321939847716844,0.9982298336277868,0.9572731148941024,1.0108401646919274,0.9189320932857111,1.1459241896713883,0.9288121160607177,0.9321473832978742,1.011277583265008,0.7349413255000472,0.8135798743381435,0.9025708697678972,0.03266810374515709,0.7969446415489594,0.8313096445590281,0.950822204121337,0.294785557956616,0.8414820272339331,0.006844407101540511,0.986325195634948,1.0430523135129102,0.07480736962552166,0.9650907013919043,0.6580600758459918,0.7214968800814898,0.26305869782578944,0.5289355311396228,0.9755989660307189,0.5464048891308998,0.457756056742032,0.7509195791139116,0.5027107125225738,0.8035596099511886,0.8788189768705205,1.0272218837501617,1.010006601116619,0.4191814580765602,0.8554742171571816,0.22826145084640526,0.989934115666078,0.47351101632299175,0.06261118942271003,0.49271862097122504,0.9719620392327145,1.0697156877033773,0.42364014466959005,0.8318327729827292,1.0935656646831209,0.869855128662813,0.14352226128954723,0.9969099617812337,0.5331965028370864,0.46252755572240156,0.3570001212914415,0.8618408968972511,1.0374663740533745,0.9400475884470652,0.7118440800418343,1.1028068283888857,0.8078283495247177,0.8870554308347751,0.9692030115409732,0.05788294080989625,0.4649379655066649,0.6765998244549605,0.9497225648993831,0.6281390265557819,0.6415709412495152,1.1278027861945232,0.973826245209879,0.839791110946899,0.898488066190949,1.1342601236073202,0.878407142577104,0.8943418574674851,1.067191862921276,0.40555170339280805,1.1091340173856108,0.6658476644403564,0.8280083733520238,0.9236160871153236,0.9520775110650174,0.004961008647979361,0.6307783102596747,0.615794367769292,0.8624659094578402,0.7498824812882353,2.53,0.7292837867426016
9,6,2,3,5,4,1,3,2,3,4,1,2,1,1,4,1,5,3,3,1,4,1,4,2,3,2,1,4,3,3,4,1,1,4,2,2,3,2,1,3,4,2,7,1,1,2,1,1,5,4,1,2,4,2,5,3,4,1,3,1,4,4,5,1,2,6,4,1,3,5,2,2,2,1,3,4,2,2,2,1,2,6,2,1,3,2,1,1,5,4,4,3,4,3,1,3,2,5,1,3,0.47407283548464857,1.1260285204868516,0.52050853174256,0.4886919744379661,1.0742241917053827,0.3549791535473721,0.822741137238845,0.9270570257940006,0.7021036878118426,0.052665294483757355,0.5561511818275621,0.38966121367696865,0.7291218767554043,0.5360004965746235,0.9986004237192082,0.957273319574375,0.9675801791891725,0.9187344388662105,1.1459178089086859,0.9332083919309417,0.8944952217778736,0.9899537573095862,0.7281853690472604,0.6976743966200701,0.8263830190475795,0.019433987492171772,0.8008652580461351,0.7364611618130484,0.9505610555065278,0.16857485921892393,0.7362275953302695,0.006325986341435672,0.9911120548205922,1.0019896384209617,0.16545199434062696,0.9650960216577121,0.6526331747565671,0.647946503943036,0.23554002296339244,0.4936297857893431,0.8932671423741914,0.5461636468361858,0.37279975769978474,0.7469996706401955,0.4982040797296664,0.7167899947764041,0.88112614513602,1.031421038333187,0.8405440270600849,0.3778579013283591,0.8519785530331482,0.23274061932961035,0.9894974283861627,0.3816307152149863,0.0642152628268318,0.4418922239282374,0.9714013356874902,1.0710140680884142,0.5088957169593585,0.8354923345671484,1.0236293080199594,0.8589425395446346,0.1456403682178334,1.0001051345179661,0.5278286195906801,0.4633778137803217,0.36863239227721445,0.8603983661200596,0.9680609711556051,0.9220797318317864,0.715086038179085,1.101459127908288,0.7942979146424356,0.8765544394592529,0.9692034435221535,0.07667349827694978,0.4319826582675069,0.6803098134748883,0.9430970019528386,0.6304475801446774,0.6388078634895802,1.1236276268697774,0.97382624826891,0.8405361273459576,0.8976740849103542,1.1016055004322627,0.8778728706878074,0.8943346777609585,1.0567848724112259,0.40573708611745335,1.109134017385701,0.6636559218041639,0.8233340046056565,0.9236129718522181,0.9548516991185474,0.0040137613616822295,0.6296041815196987,0.5324346740820874,0.8606233477693043,0.7484876881170005,2.71,0.7105616019672943
